http.request.method|http.request.full_uri|http.file_data
GET|http://127.0.0.1:5674/v2/continents|
GET|http://127.0.0.1:5717/v3/covid-19/continents/europe|
GET|http://127.0.0.1:5719/v2/continents/europe|
GET|http://127.0.0.1:5737/v3/covid-19/historical/all|
GET|http://127.0.0.1:5746/v3/covid-19/continents/europe%7Casia|
GET|http://127.0.0.1:5748/v2/continents/euro?strict=false|
GET|http://127.0.0.1:5753/v3/covid-19/continents/euro?strict=false|
GET|http://127.0.0.1:5756/v2/continents/asdfghjkl|
GET|http://127.0.0.1:5767/v3/covid-19/historical/all?lastdays=15|
GET|http://127.0.0.1:5770/v3/covid-19/historical|
GET|http://127.0.0.1:5788/v3/covid-19/continents/asdfghjkl|
GET|http://127.0.0.1:20125/v3/covid-19/vaccine/coverage/countries/TZ|
GET|http://127.0.0.1:20127/v3/covid-19/vaccine/coverage/countries/TH|
GET|http://127.0.0.1:20129/v3/covid-19/vaccine/coverage/countries/TL|
GET|http://127.0.0.1:20131/v3/covid-19/vaccine/coverage/countries/TG|
GET|http://127.0.0.1:20133/v3/covid-19/vaccine/coverage/countries/TK|
GET|http://127.0.0.1:20135/v3/covid-19/vaccine/coverage/countries/TO|
GET|http://127.0.0.1:20137/v3/covid-19/vaccine/coverage/countries/TT|
GET|http://127.0.0.1:20139/v3/covid-19/vaccine/coverage/countries/TN|
GET|http://127.0.0.1:20141/v3/covid-19/vaccine/coverage/countries/TR|
GET|http://127.0.0.1:21004/v2/historical/American%20Samoa|
GET|http://127.0.0.1:21013/v3/covid-19/nyt/counties/incorrect,%20cook|
GET|http://127.0.0.1:21019/v3/covid-19/historical/192|
GET|http://127.0.0.1:21022/v2/historical/Andorra|
GET|http://127.0.0.1:21029/v2/historical/Angola|
GET|http://127.0.0.1:21031/v3/covid-19/nyt/counties/DoesntExist|
GET|http://127.0.0.1:21084/v3/covid-19/historical/208|
GET|http://127.0.0.1:21088/v2/historical/Antigua%20and%20Barbuda|
GET|http://127.0.0.1:21098/v2/nyt/states?lastdays=2|
GET|http://127.0.0.1:22055/v2/historical/Denmark|
GET|http://127.0.0.1:22058/v3/covid-19/historical/388|
GET|http://127.0.0.1:22066/v2/historical/Djibouti|
GET|http://127.0.0.1:22071/v3/covid-19/historical/392|
GET|http://127.0.0.1:22079/v3/covid-19/historical/832|
GET|http://127.0.0.1:22088/v2/historical/Dominica|
GET|http://127.0.0.1:22572/v2/historical/Iceland|
GET|http://127.0.0.1:22580/v3/covid-19/historical/104|
GET|http://127.0.0.1:22584/v2/historical/India|
GET|http://127.0.0.1:22592/v3/covid-19/historical/104|
GET|http://127.0.0.1:22981/v2/historical/Maldives|
GET|http://127.0.0.1:22990/v3/covid-19/historical/654|
GET|http://127.0.0.1:22993/v2/historical/Mali|
GET|http://127.0.0.1:23001/v3/covid-19/historical/659|
GET|http://127.0.0.1:23005/v2/historical/Malta|
GET|http://127.0.0.1:23297/v2/historical/Niger|
GET|http://127.0.0.1:23304/v3/covid-19/historical/744|
GET|http://127.0.0.1:23595/v3/covid-19/historical/858|
GET|http://127.0.0.1:23598/v2/historical/Saint%20Kitts%20and%20Nevis|
GET|http://127.0.0.1:23605/v3/covid-19/historical/860|
GET|http://127.0.0.1:23611/v2/historical/Saint%20Lucia|
GET|http://127.0.0.1:23988/v2/historical/Turkmenistan|
