http.request.method|http.request.full_uri|http.file_data
GET|http://localhost:8080/products|
POST|http://localhost:8080/products/Product_3|
DELETE|http://localhost:8080/products/Product_1|
GET|http://localhost:8080/products/Product_1|
DELETE|http://localhost:8080/products/Product_1/features/Feature_1|
POST|http://localhost:8080/products/Product_1/features/newFeature|description=New%20Feature%20Description
PUT|http://localhost:8080/products/Product_1/features/Feature_1|description=New%20Feature%20Description
GET|http://localhost:8080/products/Product_1/features|
POST|http://localhost:8080/products/Product_1/features/Feature_1|description=Existing%20Feature%20Description
POST|http://localhost:8080/products/Product_2/configurations/Product_2_Configuration_1/features/Feature_C|
POST|http://localhost:8080/products/Product_1/configurations/Product_1_Configuration_2/features/Feature_3|
POST|http://localhost:8080/products/Product_1/constraints/requires|sourceFeature=Feature_1&requiredFeature=Feature_2
POST|http://localhost:8080/products/Product_1/constraints/excludes|sourceFeature=Feature_1&excluded=Feature_2
DELETE|http://localhost:8080/products/Product_1/constraints/1|
DELETE|http://localhost:8080/products/Product_1/configurations/Product_1_Configuration_1/features/Feature_1|
DELETE|http://localhost:8080/products/Product_1/configurations/Product_1_Configuration_1|
GET|http://localhost:8080/products/Product_1/configurations|
POST|http://localhost:8080/products/Product_1/configurations/Product_1_Configuration_2/features/Feature_1|
POST|http://localhost:8080/products/Product_1/configurations/Product_1_Configuration_2/features/Feature_B|
POST|http://localhost:8080/products/Product_1/configurations/newConfig|
POST|http://localhost:8080/products/Product_1/configurations/Product_1_Configuration_2/features/Feature_2|
GET|http://localhost:8080/products/Product_1/configurations/Product_1_Configuration_2|
