http.request.method|http.request.full_uri|http.file_data
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&filterDictionaryMatches=false|
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&filterDictionaryMatches=true|
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=test%40test.de&apiKey=foo&filterDictionaryMatches=true|
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=test%40test.de&apiKey=foo&filterDictionaryMatches=false|
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=two%40test.de&apiKey=foo-two&filterDictionaryMatches=false|
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=two%40test.de&apiKey=foo-two&filterDictionaryMatches=true|
POST|http://localhost:8081/v2/words/add|word=this&username=test@test.de&apiKey=foo
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=test%40test.de&apiKey=foo&filterDictionaryMatches=false|
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=test%40test.de&apiKey=foo&filterDictionaryMatches=true|
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=two%40test.de&apiKey=foo-two&filterDictionaryMatches=true|
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=two%40test.de&apiKey=foo-two&filterDictionaryMatches=false|
POST|http://localhost:8081/v2/words/add|word=this&username=two@test.de&apiKey=foo-two
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=two%40test.de&apiKey=foo-two&filterDictionaryMatches=true|
GET|http://localhost:8081/v2/check?language=en&text=I+wonder+if+this+errors+are+easy+to+fix.&username=two%40test.de&apiKey=foo-two&filterDictionaryMatches=false|
GET|http://localhost:8081/?text=a+test&language=en|
GET|http://localhost:8081/?text=a+test&language=en|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=Ein+kleiner+Test|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=Ein+kleiner+Test|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=ein+kleiner+test.|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=ein+kleiner+test.|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=ein+kleiner+test.+Und+wieder+Erwarten+noch+was%3A+%C3%B6%C3%A4%C3%BC%C3%9F.|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=ein+kleiner+test.+Und+wieder+Erwarten+noch+was%3A+%C3%B6%C3%A4%C3%BC%C3%9F.|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=bla+%3Cscript%3E|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=bla+%3Cscript%3E|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=ein+kleiner+test.+Und+wieder+Erwarten+noch+was%3A+%C3%B6%C3%A4%C3%BC%C3%9F%2B+%C3%B6%C3%A4%C3%BC%C3%9F.|
GET|http://localhost:8081/v2/check?language=de&disabledRules=HUNSPELL_RULE&text=ein+kleiner+test.+Und+wieder+Erwarten+noch+was%3A+%C3%B6%C3%A4%C3%BC%C3%9F%2B+%C3%B6%C3%A4%C3%BC%C3%9F.|
GET|http://localhost:8081/v2/check?language=ro&disabledRules=HUNSPELL_RULE&text=bla+bla+%C8%99%C8%9B%C3%AE%C3%A2%C4%83+%C8%99%C8%9B%C3%AE%C3%A2%C4%83+%C8%99i+c%C3%A2teva+caractere+speciale|
GET|http://localhost:8081/v2/check?language=ro&disabledRules=HUNSPELL_RULE&text=bla+bla+%C8%99%C8%9B%C3%AE%C3%A2%C4%83+%C8%99%C8%9B%C3%AE%C3%A2%C4%83+%C8%99i+c%C3%A2teva+caractere+speciale|
