http.request.method|http.request.full_uri|http.user_agent|http.accept|http.authorization|http.file_data
GET|http://localhost:8080/api/v2/activities|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|
POST|http://localhost:8080/api/v2/activities|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|{"id":0,"name":"A New Activity","date_created":"2024-05-26T19:24:00.191Z","description_material":"Materials","description_introduction":"Introduction","description_prepare":"Preparations","description_main":"Main","description_safety":"Safety","description_notes":"Notes","age_min":5,"age_max":10,"participants_min":1,"participants_max":3,"time_min":10,"time_max":30,"featured":false,"tags":[{"id":1,"activities_count":0},{"id":0,"group":"location","name":"At home","activities_count":0}],"media_files":[{"id":0,"mime_type":"image/gif","uri":"http://example.com/ant.gif","name":"ant.gif"},{"id":0,"mime_type":"image/gif","uri":"http://example.com/ant.gif","name":"ant.gif - Duplicate which should not be persisted"},{"id":0,"mime_type":"image/gif","uri":"http://example.com/bobcat.gif","name":"bobcat.gif"}]}
GET|http://localhost:8080/api/v2/activities|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|
GET|http://localhost:8080/api/v2/activities/1|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|
PATCH|http://localhost:8080/api/v2/activities/1|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|{"id":0,"name":"A Patched Activity","date_created":"2024-05-26T19:24:00.471Z"}
GET|http://localhost:8080/api/v2/activities/1|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|
PUT|http://localhost:8080/api/v2/activities/1|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|{"id":0,"name":"An Updated Activity","date_created":"2024-05-26T19:24:00.535Z","description_material":"Materials","description_introduction":"The Introduction Has Been Updated","description_prepare":"Preparations","description_main":"Main","description_safety":"Safety","description_notes":"Notes","age_min":5,"age_max":10,"participants_min":1,"participants_max":3,"time_min":10,"time_max":30,"featured":false,"tags":[{"id":1,"activities_count":0}],"media_files":[{"id":0,"mime_type":"image/gif","uri":"http://example.com/bobcat.gif","name":"bobcat.gif"}]}
GET|http://localhost:8080/api/v2/activities/1|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|
DELETE|http://localhost:8080/api/v2/activities/1|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|
GET|http://localhost:8080/api/v2/activities|scout-api (test client 983da931-80be-475a-a9b2-580cc4b1b930)||ApiKey administrator|
POST|http://localhost:8080/api/v2/activities|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey administrator|{"id":0,"name":"A New Activity","date_created":"2024-05-26T19:24:00.627Z","description_material":"Materials","description_introduction":"Introduction","description_prepare":"Preparations","description_main":"Main","description_safety":"Safety","description_notes":"Notes","age_min":5,"age_max":10,"participants_min":1,"participants_max":3,"time_min":10,"time_max":30,"featured":false,"tags":[{"id":1,"activities_count":0},{"id":0,"group":"location","name":"At home","activities_count":0}],"media_files":[{"id":0,"mime_type":"image/gif","uri":"http://example.com/ant.gif","name":"ant.gif"},{"id":0,"mime_type":"image/gif","uri":"http://example.com/ant.gif","name":"ant.gif - Duplicate which should not be persisted"},{"id":0,"mime_type":"image/gif","uri":"http://example.com/bobcat.gif","name":"bobcat.gif"}]}
POST|http://localhost:8080/api/v2/activities|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey administrator|{"id":0,"name":"A New Activity","date_created":"2024-05-26T19:24:00.673Z","description_material":"Materials","description_introduction":"Introduction","description_prepare":"Preparations","description_main":"Main","description_safety":"Safety","description_notes":"Notes","age_min":5,"age_max":10,"participants_min":1,"participants_max":3,"time_min":10,"time_max":30,"featured":false,"tags":[{"id":1,"activities_count":0},{"id":0,"group":"location","name":"At home","activities_count":0}],"media_files":[{"id":0,"mime_type":"image/gif","uri":"http://example.com/ant.gif","name":"ant.gif"},{"id":0,"mime_type":"image/gif","uri":"http://example.com/ant.gif","name":"ant.gif - Duplicate which should not be persisted"},{"id":0,"mime_type":"image/gif","uri":"http://example.com/bobcat.gif","name":"bobcat.gif"}]}
POST|http://localhost:8080/api/v2/activities|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey administrator|{"id":0,"name":"A New Activity","date_created":"2024-05-26T19:24:00.695Z","description_material":"Materials","description_introduction":"Introduction","description_prepare":"Preparations","description_main":"Main","description_safety":"Safety","description_notes":"Notes","age_min":5,"age_max":10,"participants_min":1,"participants_max":3,"time_min":10,"time_max":30,"featured":false,"tags":[{"id":1,"activities_count":0},{"id":0,"group":"location","name":"At home","activities_count":0}],"media_files":[{"id":0,"mime_type":"image/gif","uri":"http://example.com/ant.gif","name":"ant.gif"},{"id":0,"mime_type":"image/gif","uri":"http://example.com/ant.gif","name":"ant.gif - Duplicate which should not be persisted"},{"id":0,"mime_type":"image/gif","uri":"http://example.com/bobcat.gif","name":"bobcat.gif"}]}
POST|http://localhost:8080/api/v2/activities/2/rating|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey user|{"rating":3,"favourite":false}
POST|http://localhost:8080/api/v2/activities/2/rating|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey moderator|{"rating":4,"favourite":false}
GET|http://localhost:8080/api/v2/activities/2|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey user|
POST|http://localhost:8080/api/v1/favourites|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey user|{"id":[2,3]}
POST|http://localhost:8080/api/v1/favourites|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey moderator|{"id":[3,4]}
GET|http://localhost:8080/api/v2/activities/2|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey user|
GET|http://localhost:8080/api/v2/activities/3|scout-api (test client 601df078-f27a-4ba0-b473-37309405fbc5)||ApiKey user|
